0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
,,,,,,,,,資料統計至114年11月30日,,,,,0,,
,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,,0,,
案件,,,,,,,,,,,,時程,,0,,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,4結,5基,6耐,8智,9無,10捐,,,0,,
數,,,,,,原容大於法,,,7綠,,,+規,,0,,
,,,,,,構評,地退,震設,慧建,障礙,贈公,,總獎勵額度,0,,
,,,,,容3,,,建築,,,,模獎,,0,,
,,,,,,估,縮,計,築,設計,設地,,,0,,
,,,,,,,,,,,,勵,,0,,
1,1283.11 北投區,溫泉段四小段292地號等土地,臺北市北投區大興街,,107/7/6,6,8,6,6,4,,10,40,0,,
2,361 中山區,正義段一小段293地號等土地,臺北市中山區長安東路一段,,107/8/13,6,8,4,62,4,,10,40,0,,
3,784 大同區,大同段二小段212地號等土地,臺北市大同區民權西路,,107/8/29,8,10,6,,,,10,34,0,,
4,861 文山區,木柵段一小段194地號等土地,臺北市文山區指南路一段,,107/11/14,8,8,,,,,10,26,0,,
5,259 大安區,龍泉段三小段971地號等土地,臺北市大安區羅斯福路三段,,107/11/22,6,,,,,,10,16,0,,
6,526 大安區,龍泉段三小段966地號等土地,臺北市大安區羅斯福路三段,,107/11/22,6,,,,,,10,16,0,,
7,867 北投區,開明段三小段192地號等土地,臺北市北投區大屯路,,107/12/22,6,8,2,,3,,10,29,0,,
8,3937 中正區,南海段四小段86地號等土地,臺北市中正區羅斯福路一段,南門市場,108/1/710,10,,,,,,10,30,0,,
9,576.67 士林區,芝蘭段一小段320地號等土地,臺北市士林區德行東路,,108/2/11,8,8,4,6,4,,10,40,0,,
10,385 北投區,開明段二小段233地號等土地,臺北市北投區中和街,,108/2/13,8,,,,,,10,18,0,,
11,232 北投區,開明段二小段239地號等土地,臺北市北投區中和街,,108/2/27,8,,,,,,10,18,0,,
12,242.74 士林區,華岡段一小段304地號等土地,臺北市士林區大亨路,,108/3/18,6,,,,,,10,16,0,,
13,345 北投區,振興段一小段515地號等土地,臺北市北投區榮華一路,,108/3/19,8,8,4,62,,,10,40,0,,
,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,,1,,
案件,,,,,,,,,,,,,時程,1,,
,基地面積(㎡)行政區,地段地號門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,,1,,
數,,,,,原容大於法,,,,7綠,,,,+規,1,,
,,,,,,構評,地退,震設,,慧建,障礙,贈公,,1,總獎勵額度,
,,,,,容3,,,,建築,,,,模獎,1,,
,,,,,,估,縮,計,,築,設計,設地,,1,,
,,,,,,,,,,,,,勵,1,,
14,327 中山區,吉林段四小段481地號等土地臺北市中山區新生北路二段,失其效力,108/3/19,,8,8,2,6,4,3,,10,1,40,
15,1347 南港區,南港段四小段173地號等土地臺北市南港區興南街,,108/3/25,,8,8,4,6,,,,10,1,36,
16,634 中山區,榮星段三小段563-2地號等土地 臺北市中山區龍江路,,108/3/27,,8,8,4,8,,3,,10,1,40,
17,88 中山區,長安段一小段421地號等土地臺北市中山區松江路,,108/3/28,,6,,,,,,,10,1,16,
18,339 大安區,復興段二小段41地號等土地臺北市大安區大安路一段,,108/3/28,,8,8,2,6,,,,10,1,34,
,,,台北馥敦,,,,,,,,,,,1,161.58%,
19,1994 松山區,西松段二小段722地號等土地臺北市松山區南京東路五段,,108/3/29,3221.93,8,,10,6,6,,,10,1,,
,,,飯店,,,,,,,,,,,1,原容1.15,
20,510 士林區,光華段一小段538地號等土地臺北市士林區美德街,,108/4/15,,8,8,2,8,6,,,10,1,40,
21,723.59 大安區,龍泉段一小段309-1地號等土地 臺北市大安區雲和街,,108/4/16,,6,8,4,6,6,,,10,1,40,
22,471 南港區,新光段二小段278-35地號等土地 臺北市南港區成福路,,108/4/23,,8,10,2,6,4,,,10,1,40,
,,,,,,,,,,,,,,1,182.28%,
23,1255.19 中山區,長春段三小段286地號等土地臺北市中山區長春路,六福客棧,108/4/23,10061.91,8,,10,6,,,,10,1,,
,,,,,,,,,,,,,,1,原容1.15,
24,564 士林區,福林段三小段134-2地號等土地 臺北市士林區福志路,,108/4/29,,6,8,4,6,6,,,10,1,40,
25,358 大安區,懷生段三小段214地號等土地臺北市大安區忠孝東路三段,,108/5/14,,6,,10,,,,,10,1,26,
26,4818 內湖區,潭美段一小段484地號等土地臺北市內湖區安康路,,108/5/14,,8,10,10,6,,,,10,1,40,
27,957 大安區,懷生段三小段442地號等土地臺北市大安區新生南路一段,,108/5/16,,6,8,4,6,6,,,10,1,40,
數,,,,,原容大於法,,,7綠,,,,+規,,2,,
,,,,,構評,地退,震設,,慧建,障礙,贈公,,總獎勵額度,2,,
,,,,,容3,,,建築,,,,模獎,,2,,
,,,,,估,縮,計,,築,設計,設地,,,2,,
,,,,,,,,,,,,勵,,2,,
28,921 中山區,長安段一小段700地號等土地,臺北市中山區南京東路三段,108/5/17,8,8,4,6,,4,,10,40,2,,
29,281 中正區,臨沂段二小段225地號等土地,臺北市中正區新生南路一段,108/5/21,8,,6,,,,,10,24,2,,
30,209 北投區,溫泉段一小段186地號等土地,臺北市北投區溫泉路,108/5/22,8,,4,4,,,,10,26,2,,
31,413 大同區,雙連段一小段263地號等土地,臺北市大同區承德路二段,108/5/24,8,8,2,4,4,3,,10,39,2,,
32,4747 內湖區,潭美段三小段711地號等土地,臺北市內湖區新明路,108/5/24,6,10,10,6,,,,10,40,2,,
,,,,上海商業,,,,,,,,,,2,,
33,2333.05 中山區,中山段一小段823-1地號等土地 臺北市中山區民權東路一段,,108/5/27,8,,10,6,,,,10,34,2,,
,,,,儲蓄銀行,,,,,,,,,,2,,
34,2039 內湖區,潭美段三小段554地號等土地,臺北市內湖區新明路,108/6/6,6,10,10,6,,,,10,39.66,2,,
35,971 萬華區,直興段三小段200地號等土地,臺北市萬華區西昌街,108/6/6,8,10,6,,,,5,10,39,2,,
36,704 內湖區,潭美段四小段352地號等土地,臺北市內湖區新明路,108/6/10,7.66,10,4,8,,,,10,39.66,2,,
37,334 萬華區,萬華段一小段541地號等土地,臺北市萬華區昆明街,108/6/13,8,,2,,,,,10,20,2,,
38,906 中山區,中山段一小段175地號等土地,臺北市中山區雙城街,108/6/13,8,,2,6,,,,10,26,2,,
39,468 大同區,延平段二小段50地號等土地,臺北市大同區民權西路,108/6/14,8,,10,6,4,3,,10,40,2,,
